method,n_samples,accuracy,macro_f1,weighted_f1,cohen_kappa,avg_tokens,avg_tool_calls
agent,199,0.7889447236180904,0.7668116460738851,0.7753583438026709,0.6187739463601531,5606.587939698493,3.1155778894472363
logistic_regression,199,0.5527638190954773,0.5074509819413715,0.5813730913797494,0.35825059786941094,,
gradient_boosting,199,0.6532663316582915,0.49051843617937474,0.6314648257812526,0.3313693026879626,,
rule_based,199,0.4623115577889447,0.47206517620310723,0.489468753391817,0.25206364817872073,,
random_forest,199,0.6482412060301508,0.4152291105121294,0.6307446938195019,0.3249006494135892,,
few_shot_llm,199,0.24120603015075376,0.18009401184220752,0.2801028669138263,0.03444619388837111,,
majority_class,199,0.628140703517588,0.15432098765432098,0.48467646876357096,0.0,,
zero_shot_llm,199,0.1306532663316583,0.13909977784217137,0.08060222876189117,0.04939805610779757,,
